rank,percentile,ensemble_score,investment_tier,molecule_id,molecule,manufacturer,country,sector,revenue_growth_%,revenue_growth,market_size_$M,competition_count,market_share_%,volatility,is_new_entry,is_exit,is_inactive,has_partial_presence,opportunity_score,risk_score,confidence_level,ml_classification,market_segment,key_drivers,risks,entry_strategy
51.0,74.48979591836735,72.6118732061714,High Potential,AKUMS DRUGS&PHARMA_VALPROIC ACID_VIETNAM,VALPROIC ACID,AKUMS DRUGS&PHARMA,VIETNAM,RETAIL,154.1,154.1,0.3,8,21.5,1.07,False,False,False,False,47.2,22.3,High,High,GROWTH,🔥 Strong growth (154%) | 🎯 Niche market ($0.3M) | 🏢 Share: 21.5% | ⚔️ Competitive (8 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
52.0,73.9795918367347,72.2556350747453,High Potential,GSK_LAMOTRIGINE_VIETNAM,LAMOTRIGINE,GSK,VIETNAM,HOSPITAL,-11.6,-11.6,0.0,5,0.4,0.625,False,False,False,False,48.7,27.6,High,High,GROWTH,⚠️ Declining demand (-12%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.4% | ⚔️ Competitive (5 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,MONITOR
53.0,73.46938775510205,71.63571907509541,High Potential,EISAI_PERAMPANEL_VIETNAM,PERAMPANEL,EISAI,VIETNAM,HOSPITAL,-93.2,-93.2,0.0,4,0.1,1.6,False,False,False,False,51.4,32.5,High,High,GROWTH,⚠️ Declining demand (-93%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.1% | ⚔️ Competitive (4 competitors) | 💵 Pricing power (+24.5%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 93% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
54.0,72.95918367346938,71.43724983224712,High Potential,DAVI PHARM_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,DAVI PHARM,VIETNAM,RETAIL,44.4,44.4,0.0,4,35.7,0.792,False,False,False,False,47.0,28.7,High,High,GROWTH,📊 Stable growth (44%) | 🎯 Niche market ($0.0M) | 🏢 Share: 35.7% | ⚔️ Competitive (4 competitors) | 💵 Pricing power (+30.5%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
55.0,72.44897959183673,71.1023071325342,High Potential,DAVI PHARM_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,DAVI PHARM,VIETNAM,HOSPITAL,-100.0,-100.0,0.0,19,0.0,0.707,False,False,False,False,48.8,31.8,High,High,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
56.0,71.93877551020408,71.08759427506976,High Potential,PHARMEDIC_TRIHEXYPHENIDYL_VIETNAM,TRIHEXYPHENIDYL,PHARMEDIC,VIETNAM,HOSPITAL,,,0.2,7,5.1,457356666071457.2,False,False,False,False,48.7,31.5,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.2M) | 🏢 Share: 5.1% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
57.0,71.42857142857143,70.5556830881135,High Potential,PHARMEDIC_TRIHEXYPHENIDYL_VIETNAM,TRIHEXYPHENIDYL,PHARMEDIC,VIETNAM,RETAIL,,,0.2,7,3.4,266869170287612.78,False,False,False,False,37.8,22.5,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.2M) | 🏢 Share: 3.4% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
58.0,70.91836734693877,70.3452521841978,High Potential,PYMEPHARCO_PHENYTOIN_VIETNAM,PHENYTOIN,PYMEPHARCO,VIETNAM,RETAIL,,,0.0,5,4.8,72450160800373.66,False,False,False,False,48.1,33.4,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 4.8% | ⚔️ Competitive (5 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
59.0,70.40816326530613,69.9099919243122,Moderate,SUN PHARMA_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,SUN PHARMA,VIETNAM,HOSPITAL,98.8,98.8,0.0,5,0.3,4553767670842.073,False,False,False,False,48.9,35.4,High,High,GROWTH,🔥 Strong growth (99%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.3% | ⚔️ Competitive (5 competitors) | 📉 Price pressure (-28.4%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
60.0,69.89795918367348,69.56226675761766,Moderate,STELLAPHARM_LAMOTRIGINE_VIETNAM,LAMOTRIGINE,STELLAPHARM,VIETNAM,HOSPITAL,19.2,19.2,0.0,19,1.3,0.043,False,False,False,False,47.0,33.9,High,High,GROWTH,📊 Stable growth (19%) | 🎯 Niche market ($0.0M) | 🏢 Share: 1.3% | 🔀 Fragmented (19 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
61.0,69.38775510204081,68.77025842986004,Moderate,STELLAPHARM_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,STELLAPHARM,VIETNAM,HOSPITAL,17.7,17.7,0.0,7,0.2,1.029,False,False,False,False,28.9,19.5,High,High,GROWTH,📊 Stable growth (18%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.2% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
62.0,68.87755102040816,68.2057188144684,Moderate,ROCHE VNX_CLONAZEPAM_VIETNAM,CLONAZEPAM,ROCHE VNX,VIETNAM,RETAIL,,,0.0,14,0.5,235211999693893.16,False,False,False,False,80.1,41.5,High,High,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.5% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
63.0,68.36734693877551,67.96148465249057,Moderate,MEDA AB VNX_BROMOCRIPTINE_VIETNAM,BROMOCRIPTINE,MEDA AB VNX,VIETNAM,RETAIL,-100.0,-100.0,0.0,14,0.0,0.177,False,False,False,False,80.0,43.2,High,High,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (14 competitors),Generic erosion pressure: price decline with volume expansion | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
64.0,67.85714285714286,67.77243986631751,Moderate,DAVI PHARM_VALPROIC ACID_VIETNAM,VALPROIC ACID,DAVI PHARM,VIETNAM,RETAIL,-97.1,-97.1,0.0,14,0.3,0.499,False,False,False,False,29.4,22.9,High,High,GROWTH,⚠️ Declining demand (-97%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.3% | ⚔️ Competitive (14 competitors) | 💵 Pricing power (+33.2%),Generic erosion pressure: price decline with volume expansion | Market decline: losing 97% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
65.0,67.3469387755102,64.97478838966347,Moderate,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,RETAIL,500.0,500.0,0.4,7,9.1,4.683,False,False,False,False,30.6,8.9,High,Medium,GROWTH,🔥 Strong growth (500%) | 🎯 Niche market ($0.4M) | 🏢 Share: 9.1% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
66.0,66.83673469387756,62.777405671029705,Moderate,GSK_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,GSK,VIETNAM,RETAIL,312.3,312.3,0.1,7,1.8,4.023,False,False,False,False,21.7,4.0,High,Medium,GROWTH,🔥 Strong growth (312%) | 🎯 Niche market ($0.1M) | 🏢 Share: 1.8% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
67.0,66.3265306122449,62.14598619210342,Moderate,STELLAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,STELLAPHARM,VIETNAM,HOSPITAL,18.4,18.4,0.0,6,7.0,0.509,False,False,False,False,26.5,4.8,High,Medium,GROWTH,📊 Stable growth (18%) | 🎯 Niche market ($0.0M) | 🏢 Share: 7.0% | ⚔️ Competitive (6 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
68.0,65.81632653061224,61.70125819900276,Moderate,KHAPHARCO_TRIHEXYPHENIDYL_VIETNAM,TRIHEXYPHENIDYL,KHAPHARCO,VIETNAM,HOSPITAL,11.1,11.1,0.1,6,24.0,0.004,False,False,False,False,43.8,23.2,High,Medium,GROWTH,📊 Stable growth (11%) | 🎯 Niche market ($0.1M) | 🏢 Share: 24.0% | ⚔️ Competitive (6 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
69.0,65.3061224489796,60.38310047194619,Moderate,GSK VNX_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,GSK VNX,VIETNAM,RETAIL,,,0.0,1,100.0,216735299501488.7,False,False,False,False,20.9,4.4,High,Medium,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 100.0% | 🛡️ Concentrated (1 competitors) | ⚡ High volatility,Monopoly concentration (100.0% share) increases regulatory and pricing exposure | High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONOPOLY_DEFENSE
70.0,64.79591836734694,60.12895235612818,Moderate,NOVARTIS PHARMA_CARBAMAZEPINE_VIETNAM,CARBAMAZEPINE,NOVARTIS PHARMA,VIETNAM,HOSPITAL,136.7,136.7,0.7,5,61.0,0.109,False,False,False,False,31.2,17.6,High,Medium,GROWTH,🔥 Strong growth (137%) | 🎯 Niche market ($0.7M) | 🏢 Share: 61.0% | ⚔️ Competitive (5 competitors),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
71.0,64.28571428571429,60.0430497579957,Moderate,BOEH. INGEL_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,BOEH. INGEL,VIETNAM,RETAIL,-38.7,-38.7,0.1,5,7.9,0.154,False,False,False,False,28.2,16.9,High,Medium,GROWTH,⚠️ Declining demand (-39%) | 🎯 Niche market ($0.1M) | 🏢 Share: 7.9% | ⚔️ Competitive (5 competitors),Market decline: losing 39% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
72.0,63.775510204081634,58.39673748885234,Moderate,NOVARTIS PHARMA_CARBAMAZEPINE_VIETNAM,CARBAMAZEPINE,NOVARTIS PHARMA,VIETNAM,HOSPITAL,,,0.0,1,100.0,2906208870676.228,False,False,False,False,28.6,19.3,High,Medium,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 100.0% | 🛡️ Concentrated (1 competitors) | ⚡ High volatility,Monopoly concentration (100.0% share) increases regulatory and pricing exposure | High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONOPOLY_DEFENSE
73.0,63.26530612244898,56.46942797461932,Moderate,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,HOSPITAL,-93.3,-93.3,0.0,4,0.0,4.613,False,False,False,False,12.8,10.6,High,Medium,GROWTH,⚠️ Declining demand (-93%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (4 competitors) | 💵 Pricing power (+11.3%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 93% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
74.0,62.755102040816325,55.60351355739293,Moderate,JANSSEN-CILAG_TOPIRAMATE_VIETNAM,TOPIRAMATE,JANSSEN-CILAG,VIETNAM,RETAIL,-70.3,-70.3,0.1,8,4.3,0.366,False,False,False,False,14.5,15.5,High,Medium,GROWTH,⚠️ Declining demand (-70%) | 🎯 Niche market ($0.1M) | 🏢 Share: 4.3% | ⚔️ Competitive (8 competitors),Market decline: losing 70% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
75.0,62.244897959183675,54.71974619552311,Moderate,DANAPHA (TW5)_PHENYTOIN_VIETNAM,PHENYTOIN,DANAPHA (TW5),VIETNAM,RETAIL,71.8,71.8,0.1,19,1.7,0.227,False,False,False,False,21.0,23.6,High,Medium,GROWTH,🔥 Strong growth (72%) | 🎯 Niche market ($0.1M) | 🏢 Share: 1.7% | 🔀 Fragmented (19 competitors) | 📉 Price pressure (-12.2%),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
76.0,61.73469387755102,53.72319504718358,Moderate,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,RETAIL,,,0.0,19,0.5,58781786720036.8,False,False,False,False,1.7,7.4,High,Medium,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.5% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
77.0,61.224489795918366,52.07675641384742,Moderate,PYMEPHARCO_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,PYMEPHARCO,VIETNAM,RETAIL,500.0,500.0,0.5,7,11.9,7.885,False,False,False,False,1.7,12.9,High,Medium,GROWTH,🔥 Strong growth (500%) | 🎯 Niche market ($0.5M) | 🏢 Share: 11.9% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
78.0,60.71428571428571,51.76907633866073,Moderate,BOEH. INGEL_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,BOEH. INGEL,VIETNAM,HOSPITAL,,,0.1,7,2.2,696952727808708.8,False,False,False,False,26.3,16.8,High,Low,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.1M) | 🏢 Share: 2.2% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
79.0,60.204081632653065,51.7179051089785,Moderate,STELLAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,STELLAPHARM,VIETNAM,RETAIL,248.1,248.1,0.0,4,1.7,8959042917634.266,False,False,False,False,1.7,14.2,High,Medium,GROWTH,🔥 Strong growth (248%) | 🎯 Niche market ($0.0M) | 🏢 Share: 1.7% | ⚔️ Competitive (4 competitors) | 💵 Pricing power (+49.9%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
80.0,59.693877551020414,51.561424736625895,Moderate,PHARMATHEN_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,PHARMATHEN,VIETNAM,HOSPITAL,-100.0,-100.0,0.0,19,0.0,0.322,False,False,False,False,1.8,15.1,High,Medium,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | 🔀 Fragmented (19 competitors),Generic erosion pressure: price decline with volume expansion | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
81.0,59.183673469387756,51.50524129468113,Moderate,DANAPHA (TW5)_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DANAPHA (TW5),VIETNAM,HOSPITAL,-100.0,-100.0,0.0,19,0.0,0.707,False,False,False,False,3.3,19.7,High,Medium,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
82.0,58.673469387755105,50.88809166524828,Moderate,DANAPHA (TW5)_TRIHEXYPHENIDYL_VIETNAM,TRIHEXYPHENIDYL,DANAPHA (TW5),VIETNAM,HOSPITAL,-100.0,-100.0,0.0,2,0.0,0.463,False,False,False,False,44.3,24.7,Medium,Low,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | 🛡️ Concentrated (2 competitors),Generic erosion pressure: price decline with volume expansion | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
83.0,58.16326530612245,50.79415507802712,Moderate,AGIMEXPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,AGIMEXPHARM,VIETNAM,RETAIL,-79.7,-79.7,0.3,2,53.4,0.482,False,False,False,False,2.0,18.1,High,Medium,GROWTH,⚠️ Declining demand (-80%) | 🎯 Niche market ($0.3M) | 🏢 Share: 53.4% | 🛡️ Concentrated (2 competitors),Generic erosion pressure: price decline with volume expansion | Market decline: losing 80% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
84.0,57.6530612244898,50.15016874372125,Moderate,DAVI PHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DAVI PHARM,VIETNAM,RETAIL,-95.1,-95.1,0.0,19,0.1,0.509,False,False,False,False,1.7,19.3,High,Medium,GROWTH,⚠️ Declining demand (-95%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.1% | 🔀 Fragmented (19 competitors) | 📉 Price pressure (-15.4%) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 95% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
85.0,57.14285714285714,50.136409717178616,Moderate,SAVIPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,SAVIPHARM,VIETNAM,HOSPITAL,43.3,43.3,2.3,14,33.5,0.191,False,False,False,False,1.7,19.4,High,Medium,GROWTH,📊 Stable growth (43%) | 🎯 Niche market ($2.3M) | 🏢 Share: 33.5% | ⚔️ Competitive (14 competitors),None identified,NICHE_PARTNERSHIP
86.0,56.63265306122449,50.129981639329905,Moderate,DAVI PHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DAVI PHARM,VIETNAM,HOSPITAL,96.7,96.7,0.8,14,11.4,0.347,False,False,False,False,1.7,19.4,High,Medium,GROWTH,🔥 Strong growth (97%) | 🎯 Niche market ($0.8M) | 🏢 Share: 11.4% | ⚔️ Competitive (14 competitors),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
87.0,56.12244897959183,50.12954948823936,Moderate,CPC1 HA NOI_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,CPC1 HA NOI,VIETNAM,RETAIL,-3.9,-3.9,0.1,14,1.2,0.756,False,False,False,False,1.7,19.4,High,Medium,GROWTH,📊 Stable growth (-4%) | 🎯 Niche market ($0.1M) | 🏢 Share: 1.2% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,MONITOR
88.0,55.61224489795919,50.108804545027695,Moderate,CPC1 HA NOI_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,CPC1 HA NOI,VIETNAM,HOSPITAL,,,0.0,7,1.5,263701331907899.16,False,False,False,False,1.7,19.5,High,Medium,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 1.5% | ⚔️ Competitive (7 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
89.0,55.10204081632652,49.309690274308394,Avoid,SUN PHARMA_CARBIDOPA!LEVODOPA_VIETNAM,CARBIDOPA!LEVODOPA,SUN PHARMA,VIETNAM,HOSPITAL,494.6,494.6,0.2,19,4.0,6.262,False,False,False,False,23.1,16.7,Medium,Low,GROWTH,🔥 Strong growth (495%) | 🎯 Niche market ($0.2M) | 🏢 Share: 4.0% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
90.0,54.59183673469388,49.048978004247815,Avoid,HASAN-DERMAPHARM_VALPROIC ACID_VIETNAM,VALPROIC ACID,HASAN-DERMAPHARM,VIETNAM,RETAIL,,,0.0,19,0.0,7297341981845.17,False,False,False,False,1.7,23.0,High,Medium,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
91.0,54.08163265306123,49.04625041311337,Avoid,SANOFI VNX_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI VNX,VIETNAM,RETAIL,,,0.1,8,6.2,126133707628053.39,False,False,False,False,1.7,23.0,High,Medium,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.1M) | 🏢 Share: 6.2% | ⚔️ Competitive (8 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
92.0,53.57142857142857,49.00021716898058,Avoid,HASAN-DERMAPHARM_VALPROIC ACID_VIETNAM,VALPROIC ACID,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,-5.2,-5.2,0.6,7,25.2,0.2,False,False,False,False,1.7,23.2,High,Medium,GROWTH,📊 Stable growth (-5%) | 🎯 Niche market ($0.6M) | 🏢 Share: 25.2% | ⚔️ Competitive (7 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
93.0,53.06122448979592,48.9731098921513,Avoid,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,HOSPITAL,500.0,500.0,0.0,5,1.7,133501760288020.88,False,False,False,False,1.7,23.4,High,Medium,GROWTH,🔥 Strong growth (500%) | 🎯 Niche market ($0.0M) | 🏢 Share: 1.7% | ⚔️ Competitive (5 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
94.0,52.55102040816326,48.912390599282986,Avoid,AGUETTANT_VALPROIC ACID_VIETNAM,VALPROIC ACID,AGUETTANT,VIETNAM,RETAIL,-20.5,-20.5,0.0,8,1.9,0.111,False,False,False,False,1.7,23.7,High,Medium,GROWTH,⚠️ Declining demand (-21%) | 🎯 Niche market ($0.0M) | 🏢 Share: 1.9% | ⚔️ Competitive (8 competitors),Market decline: losing 21% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
95.0,52.04081632653062,48.89689089108502,Avoid,WEALPHAR_VALPROIC ACID_VIETNAM,VALPROIC ACID,WEALPHAR,VIETNAM,HOSPITAL,-100.0,-100.0,0.0,8,0.0,0.707,False,False,False,False,1.7,23.7,High,Medium,GROWTH,⚠️ Declining demand (-100%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (8 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 100% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
96.0,51.53061224489795,48.56973302907146,Avoid,DEMO SA_VALPROIC ACID_VIETNAM,VALPROIC ACID,DEMO SA,VIETNAM,HOSPITAL,169.8,169.8,0.0,14,0.5,2.625,False,False,False,False,1.9,25.2,High,Medium,GROWTH,🔥 Strong growth (170%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.5% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
97.0,51.02040816326531,48.53884965450611,Avoid,DOPHARMA (TW2)_TOPIRAMATE_VIETNAM,TOPIRAMATE,DOPHARMA (TW2),VIETNAM,HOSPITAL,500.0,500.0,0.0,14,0.1,2.943,False,False,False,False,1.7,24.8,High,Medium,GROWTH,🔥 Strong growth (500%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.1% | ⚔️ Competitive (14 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
98.0,50.51020408163265,48.44900046946772,Avoid,MEDISUN_VALPROIC ACID_VIETNAM,VALPROIC ACID,MEDISUN,VIETNAM,HOSPITAL,29.1,29.1,0.4,19,9.6,0.756,False,False,False,False,1.9,25.8,High,Medium,GROWTH,📊 Stable growth (29%) | 🎯 Niche market ($0.4M) | 🏢 Share: 9.6% | 🔀 Fragmented (19 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
99.0,50.0,47.9752068135239,Avoid,DAVI PHARM_TOPIRAMATE_VIETNAM,TOPIRAMATE,DAVI PHARM,VIETNAM,RETAIL,500.0,500.0,0.2,6,42.1,20.437,False,False,False,False,1.7,26.6,High,Medium,GROWTH,🔥 Strong growth (500%) | 🎯 Niche market ($0.2M) | 🏢 Share: 42.1% | ⚔️ Competitive (6 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
100.0,49.48979591836735,47.97237367648956,Avoid,SAVIPHARM_TOPIRAMATE_VIETNAM,TOPIRAMATE,SAVIPHARM,VIETNAM,HOSPITAL,,,0.0,5,0.0,10649028124670.113,False,False,False,False,2.4,28.7,High,Medium,GROWTH,📊 Stable growth (0%) | 🎯 Niche market ($0.0M) | 🏢 Share: 0.0% | ⚔️ Competitive (5 competitors) | ⚡ High volatility,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,MONITOR
