rank,percentile,ensemble_score,investment_tier,molecule_id,molecule,manufacturer,country,sector,revenue_growth_%,revenue_growth,market_size_$M,competition_count,market_share_%,volatility,opportunity_score,risk_score,confidence_level,ml_classification,market_segment,key_drivers,risks,entry_strategy
58.0,70.91836734693877,59.5,Avoid,DAVI PHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DAVI PHARM,VIETNAM,HOSPITAL,0.0,0.0,0.0,5,0.3,0.0,64.1,28.1,Medium,Low,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (5 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
59.0,70.40816326530613,59.361811450348746,Moderate,VIDIPHA (VDP)_PHENOBARBITAL_VIETNAM,PHENOBARBITAL,VIDIPHA (VDP),VIETNAM,HOSPITAL,98.8,98.8,0.0,5,0.3,0.115,47.2,41.9,High,Medium,GROWTH,Strong growth (99%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (5 competitors) | Price erosion (-28.4%),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
60.0,69.89795918367348,59.17277928112353,Avoid,SANOFI VNX_VIGABATRIN_VIETNAM,VIGABATRIN,SANOFI VNX,VIETNAM,RETAIL,19.2,19.2,0.0,19,17.2,0.043,47.1,43.1,High,Medium,MATURE,Stable-to-moderate growth (19%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
61.0,69.38775510204081,58.96904654398475,Avoid,EISAI_PERAMPANEL_VIETNAM,PERAMPANEL,EISAI,VIETNAM,RETAIL,17.7,17.7,0.0,7,21.1,1.029,44.2,43.0,High,Medium,MATURE,Stable-to-moderate growth (18%) | Niche market ($0.0M) | Share position (21.1%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
62.0,68.87755102040816,58.9666174474466,Avoid,PHARMASCIENCE_TOPIRAMATE_VIETNAM,TOPIRAMATE,PHARMASCIENCE,VIETNAM,RETAIL,0.0,0.0,0.0,14,31.7,0.0,52.4,51.5,Medium,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
63.0,68.36734693877551,58.79499754406317,Avoid,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,RETAIL,-74.9,-74.9,0.0,14,31.7,0.53,20.6,30.3,High,Medium,MATURE,Declining demand (-75%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 75% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
64.0,67.85714285714286,58.18429189411083,Avoid,EISAI_PERAMPANEL_VIETNAM,PERAMPANEL,EISAI,VIETNAM,HOSPITAL,-97.1,-97.1,0.0,14,31.7,0.499,42.4,44.2,High,Medium,MATURE,Declining demand (-97%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors) | Pricing power (33.2% growth),Generic erosion pressure: price decline with volume expansion | Market decline: losing 97% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
65.0,67.3469387755102,57.73378569854415,Moderate,ROCHE VNX_CLONAZEPAM_VIETNAM,CLONAZEPAM,ROCHE VNX,VIETNAM,RETAIL,500.0,500.0,0.4,7,21.1,4.683,47.5,48.3,High,Medium,MATURE,Strong growth (500%) | Niche market ($0.4M) | Share position (21.1%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
66.0,66.83673469387756,57.644692075957224,Moderate,STELLAPHARM_LAMOTRIGINE_VIETNAM,LAMOTRIGINE,STELLAPHARM,VIETNAM,HOSPITAL,312.3,312.3,0.1,7,21.1,4.023,45.2,46.7,High,Medium,MATURE,Strong growth (312%) | Niche market ($0.1M) | Share position (21.1%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
67.0,66.3265306122449,57.48264348191131,Avoid,OPV_BACOPA MONIERI!CALCIUM!CITICOLINE!FISH!FOLIC ACID!GINKGO BILOBA!MAGNESIUM!UBIDECARENONE_VIETNAM,BACOPA MONIERI!CALCIUM!CITICOLINE!FISH!FOLIC ACID!GINKGO BILOBA!MAGNESIUM!UBIDECARENONE,OPV,VIETNAM,HOSPITAL,18.4,18.4,0.0,6,2.4,0.509,39.5,43.4,High,Medium,MATURE,Stable-to-moderate growth (18%) | Niche market ($0.0M) | Share position (2.4%) | Competitive market (6 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
68.0,65.81632653061224,55.93534482651003,Avoid,HASAN-DERMAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,11.1,11.1,0.1,6,2.4,0.004,64.0,34.6,Medium,Low,GROWTH,Stable-to-moderate growth (11%) | Niche market ($0.1M) | Share position (2.4%) | Competitive market (6 competitors),Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
69.0,65.3061224489796,54.51133586633283,Avoid,SUN PHARMA_OXCARBAZEPINE_VIETNAM,OXCARBAZEPINE,SUN PHARMA,VIETNAM,HOSPITAL,0.0,0.0,0.0,1,0.2,0.0,51.7,64.5,Medium,Medium,GROWTH,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (0.2%) | Concentrated market (1 competitors),Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
70.0,64.79591836734694,53.73143100171883,Moderate,DANAPHA (TW5)_TRIHEXYPHENIDYL_VIETNAM,TRIHEXYPHENIDYL,DANAPHA (TW5),VIETNAM,HOSPITAL,136.7,136.7,0.7,5,4.7,0.109,24.2,40.7,High,Medium,MATURE,Strong growth (137%) | Niche market ($0.7M) | Share position (4.7%) | Competitive market (5 competitors),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
71.0,64.28571428571429,52.28349429397914,Avoid,DAVI PHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DAVI PHARM,VIETNAM,RETAIL,-38.7,-38.7,0.1,5,4.7,0.154,40.8,27.4,Medium,Low,MATURE,Declining demand (-39%) | Niche market ($0.1M) | Share position (4.7%) | Competitive market (5 competitors),Market decline: losing 39% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
72.0,63.775510204081634,52.22224602441075,Moderate,STELLAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,STELLAPHARM,VIETNAM,RETAIL,68.1,68.1,0.0,1,0.0,0.482,40.3,27.3,Medium,Low,MATURE,Strong growth (68%) | Niche market ($0.0M) | Share position (0.0%) | Concentrated market (1 competitors),Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
73.0,63.26530612244898,51.554956262819154,Avoid,AGIMEXPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,AGIMEXPHARM,VIETNAM,HOSPITAL,-93.3,-93.3,0.0,4,0.2,4.613,60.8,41.7,Medium,Low,GROWTH,Declining demand (-93%) | Niche market ($0.0M) | Share position (0.2%) | Competitive market (4 competitors) | Pricing power (11.3% growth) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 93% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
74.0,62.755102040816325,50.90921874726773,Avoid,AGUETTANT_VALPROIC ACID_VIETNAM,VALPROIC ACID,AGUETTANT,VIETNAM,HOSPITAL,-70.3,-70.3,0.1,8,7.5,0.366,33.9,30.9,Medium,Low,MATURE,Declining demand (-70%) | Niche market ($0.1M) | Share position (7.5%) | Competitive market (8 competitors),Market decline: losing 70% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
75.0,62.244897959183675,50.81848845174616,Moderate,T&T EQUIPMENT_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,T&T EQUIPMENT,VIETNAM,HOSPITAL,71.8,71.8,0.1,19,17.2,0.227,31.7,28.1,Medium,Low,MATURE,Strong growth (72%) | Niche market ($0.1M) | Share position (17.2%) | Fragmented market (19 competitors) | Price erosion (-12.2%),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
76.0,61.73469387755102,50.21672336763626,Moderate,HASAN-DERMAPHARM_VALPROIC ACID_VIETNAM,VALPROIC ACID,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,126.9,126.9,0.0,19,17.2,0.897,34.0,31.1,Medium,Low,MATURE,Strong growth (127%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
77.0,61.224489795918366,48.82384895714728,Moderate,JANSSEN-CILAG_TOPIRAMATE_VIETNAM,TOPIRAMATE,JANSSEN-CILAG,VIETNAM,HOSPITAL,500.0,500.0,0.5,7,21.1,7.885,31.7,36.6,Medium,Low,MATURE,Strong growth (500%) | Niche market ($0.5M) | Share position (21.1%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
78.0,60.71428571428571,47.59879056703602,Avoid,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,RETAIL,0.0,0.0,0.1,7,21.1,0.0,28.4,30.4,Medium,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.1M) | Share position (21.1%) | Competitive market (7 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
79.0,60.204081632653065,47.10701276151897,Moderate,GSK_LAMOTRIGINE_VIETNAM,LAMOTRIGINE,GSK,VIETNAM,RETAIL,248.1,248.1,0.0,4,0.3,0.486,33.9,39.0,Medium,Low,MATURE,Strong growth (248%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (4 competitors) | Pricing power (49.9% growth),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
80.0,59.693877551020414,46.378691036538115,Avoid,EISAI_PERAMPANEL_VIETNAM,PERAMPANEL,EISAI,VIETNAM,RETAIL,-54.5,-54.5,0.0,19,17.2,0.385,36.5,42.8,Medium,Low,MATURE,Declining demand (-54%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Market decline: losing 54% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
81.0,59.183673469387756,45.756036012939354,Avoid,STELLAPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,STELLAPHARM,VIETNAM,HOSPITAL,0.0,0.0,0.0,19,17.2,0.0,19.3,27.9,Medium,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
82.0,58.673469387755105,45.60636200800447,Avoid,DANAPHA (TW5)_PHENYTOIN_VIETNAM,PHENYTOIN,DANAPHA (TW5),VIETNAM,HOSPITAL,-34.5,-34.5,0.0,2,0.3,0.244,33.3,42.5,Medium,Low,MATURE,Declining demand (-34%) | Niche market ($0.0M) | Share position (0.3%) | Concentrated market (2 competitors) | Pricing power (20.1% growth),Market decline: losing 34% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
83.0,58.16326530612245,44.93645980806713,Avoid,GSK_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,GSK,VIETNAM,RETAIL,-79.7,-79.7,0.3,2,1.5,0.482,9.9,27.3,High,Low,MATURE,Declining demand (-80%) | Niche market ($0.3M) | Share position (1.5%) | Concentrated market (2 competitors),Generic erosion pressure: price decline with volume expansion | Market decline: losing 80% revenue | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
84.0,57.6530612244898,44.68358452565235,Avoid,GSK VNX_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,GSK VNX,VIETNAM,RETAIL,-95.1,-95.1,0.0,19,17.2,0.509,15.9,27.3,High,Low,MATURE,Declining demand (-95%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors) | Price erosion (-15.4%) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 95% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
85.0,57.14285714285714,43.989516503794206,Moderate,STELLAPHARM_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,STELLAPHARM,VIETNAM,HOSPITAL,43.3,43.3,2.3,14,31.7,0.191,23.9,37.7,High,Low,MATURE,Stable-to-moderate growth (43%) | Niche market ($2.3M) | Share position (31.7%) | Competitive market (14 competitors),None identified,NICHE_PARTNERSHIP
86.0,56.63265306122449,43.57898628358224,High Potential,DAVI PHARM_TOPIRAMATE_VIETNAM,TOPIRAMATE,DAVI PHARM,VIETNAM,HOSPITAL,96.7,96.7,0.8,14,31.7,0.347,18.7,36.4,High,Low,MATURE,Strong growth (97%) | Niche market ($0.8M) | Share position (31.7%) | Competitive market (14 competitors),Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
87.0,56.12244897959183,43.51963370272152,Avoid,PYMEPHARCO_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,PYMEPHARCO,VIETNAM,RETAIL,-3.9,-3.9,0.1,14,31.7,0.756,12.2,27.3,High,Low,MATURE,Stable-to-moderate growth (-4%) | Niche market ($0.1M) | Share position (31.7%) | Competitive market (14 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,MONITOR
88.0,55.61224489795919,43.413589369000746,Avoid,HERABIOPHARM_VALPROIC ACID_VIETNAM,VALPROIC ACID,HERABIOPHARM,VIETNAM,HOSPITAL,0.0,0.0,0.0,7,12.3,0.0,14.1,30.9,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (12.3%) | Competitive market (7 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
89.0,55.10204081632652,43.265298732175836,Moderate,BOEH. INGEL_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,BOEH. INGEL,VIETNAM,RETAIL,494.6,494.6,0.2,19,17.2,6.262,16.8,36.9,High,Low,MATURE,Strong growth (495%) | Niche market ($0.2M) | Share position (17.2%) | Fragmented market (19 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
90.0,54.59183673469388,43.18503320526936,Avoid,BOEH. INGEL_PRAMIPEXOLE_VIETNAM,PRAMIPEXOLE,BOEH. INGEL,VIETNAM,HOSPITAL,0.0,0.0,0.0,19,17.2,0.0,7.9,37.5,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
91.0,54.08163265306123,43.179794158759904,Moderate,MEDISUN_VALPROIC ACID_VIETNAM,VALPROIC ACID,MEDISUN,VIETNAM,HOSPITAL,418.6,418.6,0.1,8,7.5,2.96,14.1,30.9,High,Low,MATURE,Strong growth (419%) | Niche market ($0.1M) | Share position (7.5%) | Competitive market (8 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
92.0,53.57142857142857,43.17240670326507,Avoid,AGUETTANT_VALPROIC ACID_VIETNAM,VALPROIC ACID,AGUETTANT,VIETNAM,RETAIL,-5.2,-5.2,0.6,7,12.3,0.2,13.8,30.3,High,Low,MATURE,Stable-to-moderate growth (-5%) | Niche market ($0.6M) | Share position (12.3%) | Competitive market (7 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
93.0,53.06122448979592,43.14773782117845,Moderate,DEMO SA_VALPROIC ACID_VIETNAM,VALPROIC ACID,DEMO SA,VIETNAM,HOSPITAL,500.0,500.0,0.0,5,4.7,108.372,14.1,30.9,High,Low,MATURE,Strong growth (500%) | Niche market ($0.0M) | Share position (4.7%) | Competitive market (5 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
94.0,52.55102040816326,43.143432903682864,Avoid,MYUNG IN PHAM_VALPROIC ACID_VIETNAM,VALPROIC ACID,MYUNG IN PHAM,VIETNAM,RETAIL,-20.5,-20.5,0.0,8,7.5,0.111,13.8,30.3,High,Low,MATURE,Declining demand (-21%) | Niche market ($0.0M) | Share position (7.5%) | Competitive market (8 competitors),Market decline: losing 21% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
95.0,52.04081632653062,43.13643820851378,Avoid,SANOFI VNX_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI VNX,VIETNAM,RETAIL,0.0,0.0,0.0,8,7.5,0.0,13.8,30.3,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (7.5%) | Competitive market (8 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
96.0,51.53061224489795,43.13593307100328,High Potential,HASAN-DERMAPHARM_VALPROIC ACID_VIETNAM,VALPROIC ACID,HASAN-DERMAPHARM,VIETNAM,RETAIL,169.8,169.8,0.0,14,31.7,2.625,13.8,30.3,High,Low,MATURE,Strong growth (170%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
97.0,51.02040816326531,43.06062360333914,High Potential,WEALPHAR_VALPROIC ACID_VIETNAM,VALPROIC ACID,WEALPHAR,VIETNAM,HOSPITAL,500.0,500.0,0.0,14,31.7,2.943,14.0,30.9,High,Low,MATURE,Strong growth (500%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
98.0,50.51020408163265,43.04028042773079,Moderate,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,HOSPITAL,29.1,29.1,0.4,19,17.2,0.756,14.0,30.9,High,Low,MATURE,Stable-to-moderate growth (29%) | Niche market ($0.4M) | Share position (17.2%) | Fragmented market (19 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
99.0,50.0,43.03304133991856,Moderate,HASAN-DERMAPHARM_VALPROIC ACID_VIETNAM,VALPROIC ACID,HASAN-DERMAPHARM,VIETNAM,HOSPITAL,500.0,500.0,0.2,6,2.4,20.437,14.0,30.9,High,Low,MATURE,Strong growth (500%) | Niche market ($0.2M) | Share position (2.4%) | Competitive market (6 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
100.0,49.48979591836735,43.021361440751235,Avoid,TORRENT_VALPROIC ACID_VIETNAM,VALPROIC ACID,TORRENT,VIETNAM,HOSPITAL,0.0,0.0,0.0,5,0.3,0.0,14.0,30.9,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (0.3%) | Competitive market (5 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
101.0,48.97959183673469,42.99076869105463,Avoid,SANOFI_VALPROIC ACID_VIETNAM,VALPROIC ACID,SANOFI,VIETNAM,HOSPITAL,0.0,0.0,0.0,19,17.2,0.0,12.9,31.1,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
102.0,48.46938775510204,42.708137227158375,Avoid,CPC1 HA NOI_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,CPC1 HA NOI,VIETNAM,RETAIL,0.0,0.0,0.0,19,17.2,0.0,9.4,27.3,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
103.0,47.95918367346938,42.70503438915431,Avoid,DAVI PHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DAVI PHARM,VIETNAM,RETAIL,-97.5,-97.5,0.0,7,21.1,1.168,9.4,27.3,High,Low,MATURE,Declining demand (-98%) | Niche market ($0.0M) | Share position (21.1%) | Competitive market (7 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Market decline: losing 98% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
104.0,47.44897959183674,42.70226821315694,Moderate,DAVI PHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DAVI PHARM,VIETNAM,RETAIL,500.0,500.0,0.1,8,7.5,17.53,9.4,27.3,High,Low,MATURE,Strong growth (500%) | Niche market ($0.1M) | Share position (7.5%) | Competitive market (8 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
105.0,46.93877551020408,42.63640969836871,Avoid,DANAPHA (TW5)_VALPROIC ACID_VIETNAM,VALPROIC ACID,DANAPHA (TW5),VIETNAM,RETAIL,0.0,0.0,0.0,14,31.7,0.0,12.0,30.3,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
106.0,46.42857142857143,42.63384600714266,Moderate,KOREAN DRUG_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,KOREAN DRUG,VIETNAM,HOSPITAL,500.0,500.0,0.2,19,17.2,38.084,9.3,27.9,High,Low,MATURE,Strong growth (500%) | Niche market ($0.2M) | Share position (17.2%) | Fragmented market (19 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
107.0,45.91836734693878,42.622788206239846,Moderate,DAVI PHARM_VALPROIC ACID_VIETNAM,VALPROIC ACID,DAVI PHARM,VIETNAM,RETAIL,500.0,500.0,0.0,4,0.2,5.761,30.4,48.0,Medium,Low,MATURE,Strong growth (500%) | Niche market ($0.0M) | Share position (0.2%) | Competitive market (4 competitors) | Price erosion (-16.8%) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,TENDER_STRATEGY
108.0,45.40816326530612,42.49833656973316,Avoid,ZYDUS CADILA_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,ZYDUS CADILA,VIETNAM,HOSPITAL,0.0,0.0,0.1,7,12.3,0.0,9.2,27.9,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.1M) | Share position (12.3%) | Competitive market (7 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
109.0,44.89795918367347,42.49142663993123,Avoid,TORRENT_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,TORRENT,VIETNAM,HOSPITAL,0.0,0.0,0.0,14,31.7,0.0,9.2,27.9,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (31.7%) | Competitive market (14 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
110.0,44.38775510204081,42.48683411123724,Moderate,PYMEPHARCO_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,PYMEPHARCO,VIETNAM,HOSPITAL,408.3,408.3,0.0,19,17.2,4.794,9.2,27.9,High,Low,MATURE,Strong growth (408%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
111.0,43.87755102040816,42.480481089877784,Avoid,TORRENT_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,TORRENT,VIETNAM,HOSPITAL,-20.3,-20.3,0.0,19,17.2,2.361,9.2,27.9,High,Low,MATURE,Declining demand (-20%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors) | Price erosion (-11.1%) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Market decline: losing 20% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
112.0,43.36734693877551,42.46521462623977,Avoid,CPC1 HA NOI_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,CPC1 HA NOI,VIETNAM,HOSPITAL,0.0,0.0,0.0,19,17.2,0.0,9.2,27.9,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
113.0,42.857142857142854,42.459557604071364,Avoid,DAVI PHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,DAVI PHARM,VIETNAM,HOSPITAL,-52.4,-52.4,0.0,19,17.2,0.258,9.2,27.9,High,Low,MATURE,Declining demand (-52%) | Niche market ($0.0M) | Share position (17.2%) | Fragmented market (19 competitors) | Price erosion (-25.7%),Market decline: losing 52% revenue | Limited market size: constrained opportunity and thin liquidity,MONITOR
114.0,42.3469387755102,42.45784022919611,Moderate,SAVIPHARM_LEVETIRACETAM_VIETNAM,LEVETIRACETAM,SAVIPHARM,VIETNAM,HOSPITAL,500.0,500.0,0.0,19,17.8,6.046,9.2,27.9,High,Low,MATURE,Strong growth (500%) | Niche market ($0.0M) | Share position (17.8%) | Fragmented market (19 competitors) | High volatility across MAT periods,High volatility: unstable MAT trajectory across periods | Generic erosion pressure: price decline with volume expansion | Limited market size: constrained opportunity and thin liquidity,NICHE_PARTNERSHIP
115.0,41.83673469387755,41.879185505228605,Avoid,PHARMEDIC_TRIHEXYPHENIDYL_VIETNAM,TRIHEXYPHENIDYL,PHARMEDIC,VIETNAM,RETAIL,0.0,0.0,0.0,14,31.1,0.0,19.4,40.1,High,Low,MATURE,Stable-to-moderate growth (0%) | Niche market ($0.0M) | Share position (31.1%) | Competitive market (14 competitors),Limited market size: constrained opportunity and thin liquidity,MONITOR
